,model,mae,median,r2,score,score_by_max,score_by_min,score_by_mean,score_by_median,score_by_std
0,tree_noeng,84528.03844103526,49047.07062499988,0.9098090107690808,583240.541650434,15.27,277.75,55.71,60.71,103.34
1,random_forest_noeng,75610.88190178711,37999.522400000016,0.9309838888813292,543197.2220520435,14.22,258.68,51.88,56.54,96.25
2,linear_noeng,432978.4707182542,393082.5327230834,0.15519819546251357,469524.0295420152,12.3,223.6,44.85,48.87,83.19
3,xgb_noeng,69251.61563665501,40109.564999999944,0.9492834077909794,536853.2874361888,14.06,255.66,51.28,55.88,95.12
4,tree_noeng_nostore,346101.34753023525,237083.92127516825,0.23513555076398562,727131.5558430828,19.04,346.28,69.45,75.68,128.84
5,random_forest_noeng_nostore,392013.7273420969,277347.1675000014,0.09497187548572628,705502.07550115,18.47,335.98,67.39,73.43,125.01
6,linear_noeng_nostore,459003.15281988785,453239.2316038298,0.024256562533991777,499858.3530696604,13.09,238.04,47.74,52.03,88.57
7,xgb_noeng_nostore,361764.3799396003,286374.8700000001,0.23735200408935297,675775.4092566705,17.7,321.82,64.55,70.34,119.74
8,tree_week,339520.14935514366,252827.4624137932,0.2873669217422029,736816.9147116212,19.3,350.89,70.38,76.69,130.56
9,random_forest_week,398005.3359124992,265231.1556500008,0.027922449755448997,695067.2442522527,18.2,331.01,66.39,72.35,123.16
10,linear_week,478110.6420985543,461358.7900585738,0.030259676568353933,499710.50333800464,13.09,237.97,47.73,52.01,88.54
11,xgb_week,376152.28148140054,296225.595,0.28841259588277335,665544.4722310423,17.43,316.95,63.57,69.27,117.93
12,tree_week_prev,62582.59905964831,37248.43742857175,0.9676218052209324,90782.86011921377,2.38,43.23,8.67,9.45,16.09
13,random_forest_week_prev,49559.05734032633,31465.89049999998,0.9828714460706288,71231.45333398602,1.87,33.92,6.8,7.41,12.62
14,linear_week_prev,84739.78308587069,47148.79781331937,0.9256005460364207,87029.58728653591,2.28,41.45,8.31,9.06,15.42
15,xgb_week_prev,42243.32959256022,27601.764999999898,0.9866998534301666,64512.623049436676,1.69,30.72,6.16,6.71,11.43
16,tree_week_prev_diff,65054.68099881773,39840.262671756034,0.9604526428765492,85515.92490526746,2.24,40.72,8.17,8.9,15.15
17,random_forest_week_prev_diff,49077.72318873351,29202.620300000184,0.9788153232286969,68778.8678381663,1.8,32.75,6.57,7.16,12.19
18,linear_week_prev_diff,92056.26462544377,44358.23830549314,0.8812662477099684,88700.55195475338,2.32,42.24,8.47,9.23,15.72
19,xgb_week_prev_diff,45318.70714597902,28028.255000000005,0.9848843590905982,62394.92187325175,1.63,29.71,5.96,6.49,11.06
20,tree_week_prev_diff_no_holiday,68270.48911488116,39101.76799999992,0.9523095248913823,90939.40407125828,2.38,43.31,8.69,9.47,16.11
21,random_forest_week_prev_diff_no_holiday,52319.60453721837,33482.040600000066,0.9789427416388644,70734.52732923078,1.85,33.69,6.76,7.36,12.53
22,linear_week_prev_diff_no_holiday,83014.87717846637,45714.96815834136,0.9298121179237472,86273.63883414381,2.26,41.09,8.24,8.98,15.29
23,xgb_week_prev_diff_no_holiday,44215.13331148018,27247.982500000042,0.9849337758476865,64371.13253651904,1.69,30.65,6.15,6.7,11.41
24,tree_week_prev_diff_store,59283.62662305095,37077.65333333332,0.9732406200083814,87082.60345334199,2.28,41.47,8.32,9.06,15.43
25,random_forest_week_prev_diff_store,50978.79724902874,32286.404699999373,0.9815595646926638,70372.90693179489,1.84,33.51,6.72,7.32,12.47
26,linear_week_prev_diff_store,94119.81132317056,48815.81840583292,0.8941038277592246,90781.41377110554,2.38,43.23,8.67,9.45,16.09
27,xgb_week_prev_diff_store,45553.66148649961,27465.400000000023,0.9835146444084931,67456.06630448716,1.77,32.12,6.44,7.02,11.95
28,tree_noeng,85983.61520347942,43302.17400000006,0.9108084704161893,595296.90074159,15.59,283.49,56.86,61.96,105.48
29,random_forest_noeng,72428.6207320124,36519.20890000032,0.9380435458501161,548620.7537072105,14.37,261.27,52.4,57.1,97.21
30,linear_noeng,421304.6778856685,372452.7385813212,0.16281369084777197,469524.0295420152,12.3,223.6,44.85,48.87,83.19
31,xgb_noeng,67034.71631410257,37885.375,0.9494878727160248,536853.2874361888,14.06,255.66,51.28,55.88,95.12
32,tree_noeng_nostore,334036.9675549367,212780.20333333313,0.2673158932698625,727987.4202729956,19.06,346.68,69.53,75.77,128.99
33,random_forest_noeng_nostore,376563.48974147864,223643.66760000028,0.09054333872481612,704653.6401096077,18.45,335.57,67.3,73.34,124.86
34,linear_noeng_nostore,464807.0784636208,449828.3443973848,0.026640510098573045,499858.3530696604,13.09,238.04,47.74,52.03,88.57
35,xgb_noeng_nostore,378340.08633352764,315233.38,0.25556903156276056,675775.4092566705,17.7,321.82,64.55,70.34,119.74
36,tree_week,345759.71791259904,256729.1295833332,0.2926716468842385,733433.8645438107,19.21,349.28,70.05,76.34,129.96
37,random_forest_week,397932.4373737631,262895.99029999925,0.05398221525297542,690858.4305932797,18.09,329.0,65.99,71.91,122.41
38,linear_week,462281.49743221264,451581.31408478366,0.016856816710127398,499710.50333800464,13.09,237.97,47.73,52.01,88.54
39,xgb_week,362318.5971433081,289940.1699999999,0.30292726074731424,665544.4722310423,17.43,316.95,63.57,69.27,117.93
40,tree_week_prev,62265.4871718799,37797.88509615383,0.9700388054471445,89947.89701373907,2.36,42.84,8.59,9.36,15.94
41,random_forest_week_prev,50042.854434343426,30185.254700000165,0.9791432534649082,70892.63540660452,1.86,33.76,6.77,7.38,12.56
42,linear_week_prev,86800.86925024685,45113.78595257964,0.9113579469519439,87029.58728653591,2.28,41.45,8.31,9.06,15.42
43,xgb_week_prev,46000.865874611496,27596.506249999977,0.9810929717534467,64512.623049436676,1.69,30.72,6.16,6.71,11.43
44,tree_week_prev_diff,65204.758818746595,40904.5542682925,0.9658126619156552,85196.99488435917,2.23,40.57,8.14,8.87,15.1
45,random_forest_week_prev_diff,50794.70957303805,30599.64930000063,0.9795890635048523,67673.66957765346,1.77,32.23,6.46,7.04,11.99
46,linear_week_prev_diff,86962.74405208736,47034.706177651184,0.9046654720798901,88700.55195475338,2.32,42.24,8.47,9.23,15.72
47,xgb_week_prev_diff,44516.634006410255,27577.32250000001,0.9843340586460672,62394.92187325175,1.63,29.71,5.96,6.49,11.06
48,tree_week_prev_diff_no_holiday,64271.13809930246,38094.54892857163,0.9679646687915809,87770.46384643672,2.3,41.8,8.38,9.14,15.55
49,random_forest_week_prev_diff_no_holiday,51963.05815710956,32239.973800000153,0.9785211677528658,71091.42570237764,1.86,33.86,6.79,7.4,12.6
50,linear_week_prev_diff_no_holiday,89256.83217505598,45856.20474600652,0.9125471005318717,86273.63883414381,2.26,41.09,8.24,8.98,15.29
51,xgb_week_prev_diff_no_holiday,45099.90930409868,28315.089999999967,0.9847590280967402,64371.13253651904,1.69,30.65,6.15,6.7,11.41
52,tree_week_prev_diff_store,58768.637711945186,36254.8727516777,0.9731387315225577,88125.48518744169,2.31,41.97,8.42,9.17,15.61
53,random_forest_week_prev_diff_store,51934.53062867134,32126.186899999157,0.9793708675398111,71808.18970893552,1.88,34.2,6.86,7.47,12.72
54,linear_week_prev_diff_store,87151.82988259765,51733.7453853382,0.9219269174163816,90781.41377110554,2.38,43.23,8.67,9.45,16.09
55,xgb_week_prev_diff_store,41085.15012917638,25151.431250000023,0.9859599403472111,67456.06630448716,1.77,32.12,6.44,7.02,11.95
